Date,Open,High,Low,Close,Volume
01/08/2025,"588.70","590.58","585.20","589.49","47,304,672"
01/07/2025,"597.42","597.75","586.78","588.63","60,393,047"
01/06/2025,"596.27","599.70","593.60","595.36","47,679,441"
01/03/2025,"587.53","592.60","586.43","591.95","37,888,461"
01/02/2025,"589.39","591.13","580.50","584.64","50,203,980"
12/31/2024,"589.91","590.64","584.42","586.08","57,052,648"
12/30/2024,"587.89","591.74","584.41","588.22","56,578,762"
12/27/2024,"597.54","597.78","590.76","595.01","64,969,312"
12/26/2024,"599.50","602.48","598.08","601.34","41,338,887"
12/24/2024,"596.06","601.34","595.47","601.30","33,160,102"
12/23/2024,"590.89","595.30","587.66","594.69","57,635,832"
12/20/2024,"581.77","595.75","580.91","591.15","125,716,703"
12/19/2024,"591.36","593.00","585.85","586.10","85,919,445"
12/18/2024,"603.98","606.41","585.89","586.28","108,248,703"
12/17/2024,"604.19","605.17","602.89","604.29","55,773,551"
12/16/2024,"606.00","607.78","605.21","606.79","43,695,180"
12/13/2024,"606.40","607.13","602.81","604.21","35,904,727"
12/12/2024,"606.58","607.16","604.33","604.33","31,543,811"
12/11/2024,"605.78","608.44","605.50","607.46","28,677,721"
12/10/2024,"605.37","605.80","602.13","602.80","37,234,520"
12/09/2024,"607.69","607.86","604.08","604.68","34,742,738"
12/06/2024,"607.44","609.07","607.02","607.81","31,241,551"
12/05/2024,"607.66","608.48","606.31","606.66","28,762,180"
12/04/2024,"605.63","607.91","604.95","607.66","42,787,559"
12/03/2024,"603.39","604.16","602.34","603.91","26,906,631"
12/02/2024,"602.97","604.32","602.47","603.63","31,745,990"
11/29/2024,"599.66","603.35","599.38","602.55","30,177,350"
11/27/2024,"600.46","600.85","597.28","598.83","34,000,160"
11/26/2024,"598.80","601.33","598.07","600.65","45,621,289"
11/25/2024,"599.52","600.86","595.20","597.53","42,441,391"
11/22/2024,"593.66","596.15","593.15","595.51","38,226,391"
11/21/2024,"593.40","595.12","587.45","593.67","46,750,289"
11/20/2024,"590.38","590.79","584.63","590.50","50,032,578"
11/19/2024,"584.71","591.05","584.03","590.30","49,412,047"
11/18/2024,"586.22","589.49","585.34","588.15","37,084,078"
11/15/2024,"589.72","590.20","583.86","585.75","75,988,766"
11/14/2024,"597.32","597.81","592.65","593.35","38,904,113"
11/13/2024,"597.37","599.23","594.96","597.19","47,388,641"
11/12/2024,"598.68","599.29","594.37","596.90","43,006,129"
11/11/2024,"599.81","600.17","597.00","598.76","37,586,770"
11/08/2024,"596.17","599.64","596.17","598.19","46,444,887"
11/07/2024,"593.08","596.65","593.00","595.61","47,233,207"
11/06/2024,"589.20","591.93","585.39","591.04","68,181,969"
11/05/2024,"570.74","576.74","570.52","576.70","39,478,320"
